"id","ja","en","de","fr","ko","zh-cn"
"362","しおみず","brine","lake","saumure","소금물","鹽水"
"363","しぜんのめぐみ","natural-gift","beerenkräfte","don-naturel","자연의은혜","自然之恩"
"364","フェイント","feint","offenlegung","ruse","페인트","佯攻"
"365","ついばむ","pluck","pflücker","picore","쪼아대기","啄食"
"366","おいかぜ","tailwind","rückenwind","vent-arrière","순풍","順風"
"367","つぼをつく","acupressure","akupressur","acupression","경혈찌르기","點穴"
"368","メタルバースト","metal-burst","metallstoß","fulmifer","메탈버스트","金屬爆炸"
"369","とんぼがえり","u-turn","kehrtwende","demi-tour","유턴","急速折返"
"370","インファイト","close-combat","nahkampf","close-combat","인파이트","近身戰"
"371","しっぺがえし","payback","gegenstoß","représailles","보복","以牙還牙"
"372","ダメおし","assurance","gewissheit","assurance","승부굳히기","惡意追擊"
"373","さしおさえ","embargo","itemsperre","embargo","금제","查封"
"374","なげつける","fling","schleuder","dégommage","내던지기","投擲"
"375","サイコシフト","psycho-shift","psybann","échange-psy*","사이코시프트","精神轉移"
"376","きりふだ","trump-card","trumpfkarte","atout","마지막수단","王牌"
"377","かいふくふうじ","heal-block","heilblockade","anti-soin","회복봉인","回復封鎖"
"378","しぼりとる","wring-out","auswringen","essorage","쥐어짜기","絞緊"
"379","パワートリック","power-trick","krafttrick","astuce-force","파워트릭","力量戲法"
"380","いえき","gastro-acid","magensäfte","suc-digestif","위액","胃液"
"381","おまじない","lucky-chant","beschwörung","air-veinard","주술","幸運咒語"
"382","さきどり","me-first","egotrip","moi-d'abord","선취","搶先一步"
"383","まねっこ","copycat","imitator","photocopie","흉내쟁이","仿效"
"384","パワースワップ","power-swap","krafttausch","permuforce","파워스웹","力量互換"
"385","ガードスワップ","guard-swap","schutztausch","permugarde","가드스웹","防守互換"
"386","おしおき","punishment","strafattacke","punition","혼내기","懲罰"
"387","とっておき","last-resort","zuflucht","dernier-recours*","뒀다쓰기","珍藏"
"388","なやみのタネ","worry-seed","sorgensamen","soucigraine","고민씨","煩惱種子"
"389","ふいうち","sucker-punch","tiefschlag","coup-bas","기습","突襲"
"390","どくびし","toxic-spikes","giftspitzen","pics-toxik","독압정","毒菱"
"391","ハートスワップ","heart-swap","statustausch","permucœur","하트스웹","心靈互換"
"392","アクアリング","aqua-ring","wasserring","anneau-hydro","아쿠아링","水流環"
"393","でんじふゆう","magnet-rise","magnetflug","vol-magnétik","전자부유","電磁飄浮"
"394","フレアドライブ","flare-blitz","flammenblitz","boutefeu","플레어드라이브","閃焰衝鋒"
"395","はっけい","force-palm","kraftwelle","forte-paume","발경","發勁"
"396","はどうだん","aura-sphere","aurasphäre","aurasphère","파동탄","波導彈"
"397","ロックカット","rock-polish","steinpolitur","poliroche","록커트","岩石打磨"
"398","どくづき","poison-jab","gifthieb","direct-toxik","독찌르기","毒擊"
"399","あくのはどう","dark-pulse","finsteraura","vibrobscur","악의파동","惡之波動"
"400","つじぎり","night-slash","nachthieb","tranche-nuit","깜짝베기","暗襲要害"
"401","アクアテール","aqua-tail","nassschweif","hydro-queue*","아쿠아테일","水流尾"
"402","タネばくだん","seed-bomb","samenbomben","canon-graine","씨폭탄","種子炸彈"
"403","エアスラッシュ","air-slash","luftschnitt","lame-d'air","에어슬래시","空氣斬"
"404","シザークロス","x-scissor","kreuzschere","plaie-croix*","시저크로스","十字剪"
"405","むしのさざめき","bug-buzz","käfergebrumm","bourdon","벌레의야단법석","蟲鳴"
"406","りゅうのはどう","dragon-pulse","drachenpuls","draco-choc*","용의파동","龍之波動"
"407","ドラゴンダイブ","dragon-rush","drachenstoß","draco-charge*","드래곤다이브","龍之俯衝"
"408","パワージェム","power-gem","juwelenkraft","rayon-gemme","파워젬","力量寶石"
"409","ドレインパンチ","drain-punch","ableithieb","vampi-poing*","드레인펀치","吸取拳"
"410","しんくうは","vacuum-wave","vakuumwelle","onde-vide","진공파","真空波"
"411","きあいだま","focus-blast","fokusstoß","exploforce","기합구슬","真氣彈"
"412","エナジーボール","energy-ball","energieball","éco-sphère*","에너지볼","能量球"
"413","ブレイブバード","brave-bird","sturzflug","rapace","브레이브버드","勇鳥猛攻"
"414","だいちのちから","earth-power","erdkräfte","telluriforce","대지의힘","大地之力"
"415","すりかえ","switcheroo","wechseldich","passe-passe","바꿔치기","掉包"
"416","ギガインパクト","giga-impact","gigastoß","giga-impact","기가임팩트","終極衝擊"
"417","わるだくみ","nasty-plot","ränkeschmied","machination","나쁜음모","詭計"
"418","バレットパンチ","bullet-punch","patronenhieb","pisto-poing","불릿펀치","子彈拳"
"419","ゆきなだれ","avalanche","lawine","avalanche","눈사태","雪崩"
"420","こおりのつぶて","ice-shard","eissplitter","éclats-glace","얼음뭉치","冰礫"
"421","シャドークロー","shadow-claw","dunkelklaue","griffe-ombre","섀도크루","暗影爪"
"422","かみなりのキバ","thunder-fang","donnerzahn","crocs-éclair","번개엄니","雷電牙"
"423","こおりのキバ","ice-fang","eiszahn","crocs-givre","얼음엄니","冰凍牙"
"424","ほのおのキバ","fire-fang","feuerzahn","crocs-feu","불꽃엄니","火焰牙"
"425","かげうち","shadow-sneak","schattenstoß","ombre-portée","야습","影子偷襲"
"426","どろばくだん","mud-bomb","schlammbombe","boue-bombe","진흙폭탄","泥巴炸彈"
"427","サイコカッター","psycho-cut","psychoklinge","coupe-psycho","사이코커터","精神利刃"
"428","しねんのずつき","zen-headbutt","zen-kopfstoß","psykoud'boul","사념의박치기","意念頭錘"
"429","ミラーショット","mirror-shot","spiegelsalve","miroi-tir","미러숏","鏡光射擊"
"430","ラスターカノン","flash-cannon","lichtkanone","luminocanon","러스터캐논","加農光炮"
"431","ロッククライム","rock-climb","kraxler","escalade","락클라임","攀岩"
"432","きりばらい","defog","auflockern","anti-brume","안개제거","清除濃霧"
"433","トリックルーム","trick-room","bizarroraum","distorsion","트릭룸","戲法空間"
"434","りゅうせいぐん","draco-meteor","draco-meteor","draco-météore**","용성군","流星群"
"435","ほうでん","discharge","ladungsstoß","coup-d'jus","방전","放電"
"436","ふんえん","lava-plume","flammensturm","ébullilave*","분연","噴煙"
"437","リーフストーム","leaf-storm","blättersturm","tempête-verte*","리프스톰","飛葉風暴"
"438","パワーウィップ","power-whip","blattgeißel","mégafouet","파워휩","強力鞭打"
"439","がんせきほう","rock-wrecker","felswerfer","roc-boulet","암석포","岩石炮"
"440","クロスポイズン","cross-poison","giftstreich","poison-croix*","크로스포이즌","十字毒刃"
"441","ダストシュート","gunk-shot","mülltreffer","détricanon","더스트슈트","垃圾射擊"
"442","アイアンヘッド","iron-head","eisenschädel","tête-de-fer","아이언헤드","鐵頭"
"443","マグネットボム","magnet-bomb","magnetbombe","bombe-aimant*","마그넷봄","磁鐵炸彈"
"444","ストーンエッジ","stone-edge","steinkante","lame-de-roc","스톤에지","尖石攻擊"
"445","ゆうわく","captivate","liebreiz","séduction","유혹","誘惑"
"446","ステルスロック","stealth-rock","tarnsteine","piège-de-roc","스텔스록","隱形岩"
"447","くさむすび","grass-knot","strauchler","nœud-herbe","풀묶기","打草結"
"448","おしゃべり","chatter","geschwätz","babil","수다","喋喋不休"
"449","さばきのつぶて","judgment","urteilskraft","jugement","심판의뭉치","制裁光礫"
"450","むしくい","bug-bite","käferbiss","piqûre","벌레먹음","蟲咬"
"451","チャージビーム","charge-beam","ladestrahl","rayon-chargé","차지빔","充電光束"
"452","ウッドハンマー","wood-hammer","holzhammer","martobois","우드해머","木槌"
"453","アクアジェット","aqua-jet","wasserdüse","aqua-jet","아쿠아제트","水流噴射"
"454","こうげきしれい","attack-order","schlagbefehl","appel-attak*","공격지령","攻擊指令"
"455","ぼうぎょしれい","defend-order","blockbefehl","appel-défense*","방어지령","防禦指令"
"456","かいふくしれい","heal-order","heilbefehl","appel-soins","회복지령","回復指令"
"457","もろはのずつき","head-smash","kopfstoß","fracass'tête","양날박치기","雙刃頭錘"
"458","ダブルアタック","double-hit","doppelschlag","coup-double","더블어택","二連擊"
"459","ときのほうこう","roar-of-time","zeitenlärm","hurle-temps","시간의포효","時光咆哮"
"460","あくうせつだん","spacial-rend","raumschlag","spatio-rift","공간절단","亞空裂斬"
"461","みかづきのまい","lunar-dance","lunartanz","danse-lune*","초승달춤","新月舞"
"462","にぎりつぶす","crush-grip","quetschgriff","presse","묵사발","捏碎"
"463","マグマストーム","magma-storm","lavasturm","vortex-magma","마그마스톰","熔岩風暴"
"464","ダークホール","dark-void","schlummerort","trou-noir","다크홀","暗黑洞"
"465","シードフレア","seed-flare","schocksamen","fulmigraine","시드플레어","種子閃光"
"466","あやしいかぜ","ominous-wind","unheilböen","vent-mauvais","괴상한바람","奇異之風"
"467","シャドーダイブ","shadow-force","schemenkraft","revenant","섀도다이브","暗影潛襲"
"468","つめとぎ","hone-claws","klauenwetzer","aiguisage","손톱갈기","磨爪"
"469","ワイドガード","wide-guard","rundumschutz","garde-large","와이드가드","廣域防守"
"470","ガードシェア","guard-split","schutzteiler","partage-garde*","가드셰어","防守平分"
"471","パワーシェア","power-split","kraftteiler","partage-force*","파워셰어","力量平分"
"472","ワンダールーム","wonder-room","wunderraum","zone-étrange","원더룸","奇妙空間"
"473","サイコショック","psyshock","psychoschock","choc-psy","사이코쇼크","精神衝擊"
"474","ベノムショック","venoshock","giftschock","choc-venin","베놈쇼크","毒液衝擊"
"475","ボディパージ","autotomize","autotomie","allègement","바디퍼지","身體輕量化"
"476","いかりのこな","rage-powder","wutpulver","poudre-fureur*","분노가루","憤怒粉"
"477","テレキネシス","telekinesis","telekinese","lévikinésie","텔레키네시스","意念移物"
"478","マジックルーム","magic-room","magieraum","zone-magique","매직룸","魔法空間"
"479","うちおとす","smack-down","katapult","anti-air","떨어뜨리기","擊落"
"480","やまあらし","storm-throw","bergsturm","yama-arashi","업어후리기","山嵐摔"
"481","はじけるほのお","flame-burst","funkenflug","rebondifeu","불꽃튀기기","烈焰濺射"
"482","ヘドロウェーブ","sludge-wave","schlammwoge","cradovague","오물웨이브","污泥波"
"483","ちょうのまい","quiver-dance","falterreigen","papillodanse","나비춤","蝶舞"
"484","ヘビーボンバー","heavy-slam","rammboss","tacle-lourd","헤비봄버","重磅衝撞"
"485","シンクロノイズ","synchronoise","synchrolärm","synchropeine","싱크로노이즈","同步干擾"
"486","エレキボール","electro-ball","elektroball","boule-élek","일렉트릭볼","電球"
"487","みずびたし","soak","überflutung","détrempage","물붓기","浸水"
"488","ニトロチャージ","flame-charge","nitroladung","nitrocharge","니트로차지","蓄能焰襲"
"489","とぐろをまく","coil","einrollen","enroulement","똬리틀기","盤蜷"
"490","ローキック","low-sweep","fußtritt","balayette","로킥","下盤踢"
"491","アシッドボム","acid-spray","säurespeier","bombe-acide","애시드봄","酸液炸彈"
"492","イカサマ","foul-play","schmarotzer","tricherie","속임수","欺詐"
"493","シンプルビーム","simple-beam","wankelstrahl","rayon-simple","심플빔","單純光束"
"494","なかまづくり","entrainment","zwango","ten-danse*","동료만들기","找夥伴"
"495","おさきにどうぞ","after-you","galanterie","après-vous","당신먼저","您先請"
"496","りんしょう","round","kanon","chant-canon","돌림노래","輪唱"
"497","エコーボイス","echoed-voice","widerhall","écho","에코보이스","回聲"
"498","なしくずし","chip-away","zermürben","attrition","야금야금","逐步擊破"
"499","クリアスモッグ","clear-smog","klärsmog","bain-de-smog","클리어스모그","清除之煙"
"500","アシストパワー","stored-power","kraftvorrat","force-ajoutée*","어시스트파워","輔助力量"
"501","ファストガード","quick-guard","rapidschutz","prévention","퍼스트가드","快速防守"
"502","サイドチェンジ","ally-switch","seitentausch","interversion","사이드체인지","交換場地"
"503","ねっとう","scald","siedewasser","ébullition","열탕","熱水"
"504","からをやぶる","shell-smash","hausbruch","exuviation","껍질깨기","破殼"
"505","いやしのはどう","heal-pulse","heilwoge","vibra-soin","치유파동","治癒波動"
"506","たたりめ","hex","bürde","châtiment","병상첨병","禍不單行"
"507","フリーフォール","sky-drop","freier-fall","chute-libre","프리폴","自由落體"
"508","ギアチェンジ","shift-gear","gangwechsel","chgt-vitesse","기어체인지","換檔"
"509","ともえなげ","circle-throw","überkopfwurf","projection","배대뒤치기","巴投"
"510","やきつくす","incinerate","einäschern","calcination","불태우기","燒盡"
"511","さきおくり","quash","verzögerung","à-la-queue","순서미루기","延後"
"512","アクロバット","acrobatics","akrobatik","acrobatie","애크러뱃","雜技"
"513","ミラータイプ","reflect-type","typenspiegel","copie-type*","미러타입","鏡面屬性"
"514","かたきうち","retaliate","heimzahlung","vengeance","원수갚기","報仇"
"515","いのちがけ","final-gambit","wagemut","tout-ou-rien","목숨걸기","搏命"
"516","ギフトパス","bestow","offerte","passe-cadeau","기프트패스","傳遞禮物"
"517","れんごく","inferno","inferno","feu-d'enfer","연옥","煉獄"
"518","みずのちかい","water-pledge","wassersäulen","aire-d'eau","물의맹세","水之誓約"
"519","ほのおのちかい","fire-pledge","feuersäulen","aire-de-feu","불꽃의맹세","火之誓約"
"520","くさのちかい","grass-pledge","pflanzensäulen*","aire-d'herbe","풀의맹세","草之誓約"
"521","ボルトチェンジ","volt-switch","voltwechsel","change-éclair*","볼트체인지","伏特替換"
"522","むしのていこう","struggle-bug","käfertrutz","survinsecte","벌레의저항","蟲之抵抗"
"523","じならし","bulldoze","dampfwalze","piétisol","땅고르기","重踏"
"524","こおりのいぶき","frost-breath","eisesodem","souffle-glacé*","얼음숨결","冰息"
"525","ドラゴンテール","dragon-tail","drachenrute","draco-queue","드래곤테일","龍尾"
"526","ふるいたてる","work-up","kraftschub","rengorgement","분발","自我激勵"
"527","エレキネット","electroweb","elektronetz","toile-élek","일렉트릭네트","電網"
"528","ワイルドボルト","wild-charge","stromstoß","éclair-fou","와일드볼트","瘋狂伏特"
"529","ドリルライナー","drill-run","schlagbohrer","tunnelier","드릴라이너","直衝鑽"
"530","ダブルチョップ","dual-chop","doppelhieb","double-baffe","더블촙","二連劈"
"531","ハートスタンプ","heart-stamp","herzstempel","crèvecœur","하트스탬프","愛心印章"
"532","ウッドホーン","horn-leech","holzgeweih","encornebois","우드호른","木角"
"533","せいなるつるぎ","sacred-sword","sanctoklinge","lame-sainte","성스러운칼","聖劍"
"534","シェルブレード","razor-shell","kalkklinge","coqui-lame*","셸블레이드","貝殼刃"
"535","ヒートスタンプ","heat-crash","brandstempel","tacle-feu","히트스탬프","高溫重壓"
"536","グラスミキサー","leaf-tornado","grasmixer","phytomixeur","그래스믹서","青草攪拌器"
"537","ハードローラー","steamroller","quetschwalze","bulldoboule","하드롤러","瘋狂滾壓"
"538","コットンガード","cotton-guard","watteschild","cotogarde","코튼가드","棉花防守"
"539","ナイトバースト","night-daze","nachtflut","explonuit","나이트버스트","暗黑爆破"
"540","サイコブレイク","psystrike","psychostoß","frappe-psy","사이코브레이크","精神擊破"
"541","スイープビンタ","tail-slap","kehrschelle","plumo-queue","스위프뺨치기","掃尾拍打"
"542","ぼうふう","hurricane","orkan","vent-violent","폭풍","暴風"
"543","アフロブレイク","head-charge","steinschädel","peignée","아프로브레이크","爆炸頭突擊"
"544","ギアソーサー","gear-grind","klikkdiskus","lancécrou","기어소서","齒輪飛盤"
"545","かえんだん","searing-shot","flammenball","incendie","화염탄","火焰彈"
"546","テクノバスター","techno-blast","techblaster","techno-buster*","테크노버스터","高科技光炮"
"547","いにしえのうた","relic-song","urgesang","chant-antique*","옛노래","古老之歌"
"548","しんぴのつるぎ","secret-sword","mystoschwert","lame-ouinte","신비의칼","神秘之劍"
"549","こごえるせかい","glaciate","eiszeit","ère-glaciaire*","얼다세계","冰封世界"
"550","らいげき","bolt-strike","blitzschlag","charge-foudre*","뇌격","雷擊"
"551","あおいほのお","blue-flare","blauflammen","flamme-bleue","푸른불꽃","青焰"
"552","ほのおのまい","fiery-dance","feuerreigen","danse-du-feu","불꽃춤","火之舞"
"553","フリーズボルト","freeze-shock","frostvolt","éclair-gelé","프리즈볼트","冰凍伏特"
"554","コールドフレア","ice-burn","frosthauch","feu-glacé","콜드플레어","極寒冷焰"
"555","バークアウト","snarl","standpauke","aboiement","바크아웃","大聲咆哮"
"556","つららおとし","icicle-crash","eiszapfhagel","chute-glace","고드름떨구기","冰柱墜擊"
"557","ｖジェネレート","v-create","v-generator","coup-victoire*","v제너레이트","ｖ熱焰"
"558","クロスフレイム","fusion-flare","kreuzflamme","flamme-croix","크로스플레임","交錯火焰"
"559","クロスサンダー","fusion-bolt","kreuzdonner","éclair-croix","크로스썬더","交錯閃電"
"560","フライングプレス","flying-press","flying-press","flying-press","플라잉프레스","飛身重壓"
"561","たたみがえし","mat-block","tatami-schild","tatamigaeshi","마룻바닥세워막기","掀榻榻米"
"562","ゲップ","belch","rülpser","éructation","트림","打嗝"
"563","たがやす","rototiller","pflüger","fertilisation","일구기","耕地"
"564","ねばねばネット","sticky-web","klebenetz","toile-gluante","끈적끈적네트","黏黏網"
"565","とどめばり","fell-stinger","stachelfinale","dard-mortel","마지막일침","致命針刺"
"566","ゴーストダイブ","phantom-force","phantomkraft","hantise","고스트다이브","潛靈奇襲"
"567","ハロウィン","trick-or-treat","halloween","halloween","핼러윈","萬聖夜"
"568","おたけび","noble-roar","kampfgebrüll","râle-mâle","부르짖기","戰吼"
"569","プラズマシャワー","ion-deluge","plasmaschauer","déluge-plasmique*","플라스마샤워","等離子浴"
"570","パラボラチャージ","parabolic-charge","parabolladung","parabocharge","파라볼라차지","拋物面充電"
"571","もりののろい","forest's-curse","waldesfluch","maléfice-sylvain","숲의저주","森林詛咒"
"572","はなふぶき","petal-blizzard","blütenwirbel","tempête-florale","꽃보라","落英繽紛"
"573","フリーズドライ","freeze-dry","gefriertrockner","lyophilisation","프리즈드라이","冷凍乾燥"
"574","チャームボイス","disarming-voice","säuselstimme","voix-enjôleuse","차밍보이스","魅惑之聲"
"575","すてゼリフ","parting-shot","abgangstirade","dernier-mot","막말내뱉기","拋下狠話"
"576","ひっくりかえす","topsy-turvy","invertigo","renversement","뒤집어엎기","顛倒"
"577","ドレインキッス","draining-kiss","diebeskuss","vampibaiser","드레인키스","吸取之吻"
"578","トリックガード","crafty-shield","trickschutz","vigilance","트릭가드","戲法防守"
"579","フラワーガード","flower-shield","floraschutz","garde-florale","플라워가드","鮮花防守"
"580","グラスフィールド","grassy-terrain","grasfeld","champ-herbu","그래스필드","青草場地"
"581","ミストフィールド","misty-terrain","nebelfeld","champ-brumeux","미스트필드","薄霧場地"
"582","そうでん","electrify","elektrifizierung","électrisation","송전","輸電"
"583","じゃれつく","play-rough","knuddler","câlinerie","치근거리기","嬉鬧"
"584","ようせいのかぜ","fairy-wind","feenbrise","vent-féérique","요정의바람","妖精之風"
"585","ムーンフォース","moonblast","mondgewalt","pouvoir-lunaire","문포스","月亮之力"
"586","ばくおんぱ","boomburst","überschallknall","bang-sonique","폭음파","爆音波"
"587","フェアリーロック","fairy-lock","feenschloss","verrou-enchanté","페어리록","妖精之鎖"
"588","キングシールド","king's-shield","königsschild","bouclier-royal","킹실드","王者盾牌"
"589","なかよくする","play-nice","kameradschaft","camaraderie","친해지기","和睦相處"
"590","ないしょばなし","confide","vertrauenssache","confidence","비밀이야기","密語"
"591","ダイヤストーム","diamond-storm","diamantsturm","orage-adamantin","다이아스톰","鑽石風暴"
"592","スチームバースト","steam-eruption","dampfschwall","jet-de-vapeur","스팀버스트","蒸汽爆炸"
"593","いじげんホール","hyperspace-hole","dimensionsloch","troudimensionnel","다른차원홀","異次元洞"
"594","みずしゅりけん","water-shuriken","wasser-shuriken","sheauriken","물수리검","飛水手裡劍"
"595","マジカルフレイム","mystical-fire","magieflamme","feu-ensorcelé","매지컬플레임","魔法火焰"
"596","ニードルガード","spiky-shield","schutzstacheln","pico-défense","니들가드","尖刺防守"
"597","アロマミスト","aromatic-mist","duftwolke","brume-capiteuse","아로마미스트","芳香薄霧"
"598","かいでんぱ","eerie-impulse","mystowellen","ondes-étranges","괴전파","怪異電波"
"599","ベノムトラップ","venom-drench","giftfalle","piège-de-venin","베놈트랩","毒液陷阱"
"600","ふんじん","powder","pulverschleuder","nuée-de-poudre","분진","粉塵"
"601","ジオコントロール","geomancy","geokontrolle","géo-contrôle","지오컨트롤","大地掌控"
"602","じばそうさ","magnetic-flux","magnetregler","magné-contrôle","자기장조작","磁場操控"
"603","ハッピータイム","happy-hour","goldene-zeiten","étrennes","해피타임","歡樂時光"
"604","エレキフィールド","electric-terrain","elektrofeld","champ-électrifié","일렉트릭필드","電氣場地"
"605","マジカルシャイン","dazzling-gleam","zauberschein","éclat-magique","매지컬샤인","魔法閃耀"
"606","おいわい","celebrate","ehrentag","célébration","축하","慶祝"
"607","てをつなぐ","hold-hands","händchenhalten","mains-jointes","손에손잡기","牽手"
"608","つぶらなひとみ","baby-doll-eyes","kulleraugen","regard-touchant","초롱초롱눈동자","圓瞳"
"609","ほっぺすりすり","nuzzle","wangenrubbler","frotte-frimousse","볼부비부비","蹭蹭臉頰"
"610","てかげん","hold-back","zurückhaltung","retenue","적당히손봐주기","手下留情"
"611","まとわりつく","infestation","plage","harcèlement","엉겨붙기","死纏爛打"
"612","グロウパンチ","power-up-punch","steigerungshieb","poing-boost","그로우펀치","增強拳"
"613","デスウイング","oblivion-wing","unheilsschwingen","mort'ailes*","데스윙","死亡之翼"
"614","サウザンアロー","thousand-arrows","tausend-pfeile","myria-flèches","사우전드애로","千箭齊發"
"615","サウザンウェーブ","thousand-waves","tausend-wellen","myria-vagues","사우전드웨이브","千波激盪"
"616","グランドフォース","land's-wrath","bodengewalt","force-chtonienne","그라운드포스","大地神力"
"617","はめつのひかり","light-of-ruin","lux-calamitatis","lumière-du-néant","파멸의빛","破滅之光"
"618","こんげんのはどう","origin-pulse","ursprungswoge","onde-originelle","근원의파동","根源波動"
"619","だんがいのつるぎ","precipice-blades","abgrundsklinge","lame-pangéenne","단애의칼","斷崖之劍"
"620","ガリョウテンセイ","dragon-ascent","zenitstürmer","draco-ascension*","화룡점정","畫龍點睛"
"621","いじげんラッシュ","hyperspace-fury","dimensionswahn","furie-dimension","다른차원러시","異次元猛攻"
"659","すなあつめ","shore-up","sandsammler","amass'sable","모래모으기","集沙"
"660","であいがしら","first-impression","überrumpler","escarmouche","만나자마자","迎頭一擊"
"661","トーチカ","baneful-bunker","bunker","blockhaus","토치카","碉堡"
"662","かげぬい","spirit-shackle","schattenfessel","tisse-ombre","그림자꿰매기","縫影"
"663","ｄｄラリアット","darkest-lariat","dark-lariat","dark-lariat","dd래리어트","ｄｄ金勾臂"
"664","うたかたのアリア","sparkling-aria","schaumserenade","aria-de-l'écume","물거품아리아","泡影的詠歎調"
"665","アイスハンマー","ice-hammer","eishammer","marteau-de-glace","아이스해머","冰錘"
"666","フラワーヒール","floral-healing","florakur","soin-floral","플라워힐","花療"
"667","１０まんばりき","high-horsepower","pferdestärke","cavalerie-lourde","10만마력","十萬馬力"
"668","ちからをすいとる","strength-sap","kraftabsorber","vole-force*","힘흡수","吸取力量"
"669","ソーラーブレード","solar-blade","solarklinge","lame-solaire","솔라블레이드","日光刃"
"670","このは","leafage","blattwerk","feuillage","나뭇잎","樹葉"
"671","スポットライト","spotlight","rampenlicht","projecteur","스포트라이트","聚光燈"
"672","どくのいと","toxic-thread","giftfaden","fil-toxique","독실","毒絲"
"673","とぎすます","laser-focus","konzentration","affilage","예민해지기","磨礪"
"674","アシストギア","gear-up","hilfsmechanik","engrenage","어시스트기어","輔助齒輪"
"675","じごくづき","throat-chop","neck-strike","exécu-son","지옥찌르기","地獄突刺"
"676","かふんだんご","pollen-puff","pollenknödel","boule-pollen","꽃가루경단","花粉團"
"677","アンカーショット","anchor-shot","ankerschuss","ancrage","앵커숏","擲錨"
"678","サイコフィールド","psychic-terrain","psychofeld","champ-psychique","사이코필드","精神場地"
"679","とびかかる","lunge","anfallen","furie-bond","덤벼들기","猛撲"
"680","ほのおのムチ","fire-lash","feuerpeitsche","fouet-de-feu","불꽃채찍","火焰鞭"
"681","つけあがる","power-trip","überheblichkeit","arrogance","기어오르기","囂張"
"682","もえつきる","burn-up","ausbrennen","flamme-ultime","불사르기","燃盡"
"683","スピードスワップ","speed-swap","initiativetausch","permuvitesse","스피드스웹","速度互換"
"684","スマートホーン","smart-strike","schmalhorn","estocorne","스마트호른","修長之角"
"685","じょうか","purify","läuterung","purification","정화","淨化"
"686","めざめるダンス","revelation-dance","wecktanz","danse-éveil","잠재댄스","覺醒之舞"
"687","コアパニッシャー","core-enforcer","sanktionskern","sanction-suprême","코어퍼니셔","核心懲罰者"
"688","トロピカルキック","trop-kick","tropenkick","botte-sucrette","트로피컬킥","熱帶踢"
"689","さいはい","instruct","kommando","sommation","지휘","號令"
"690","くちばしキャノン","beak-blast","schnabelkanone","bec-canon","부리캐논","鳥嘴加農炮"
"691","スケイルノイズ","clanging-scales","schuppenrasseln","vibrécaille","스케일노이즈","鱗片噪音"
"692","ドラゴンハンマー","dragon-hammer","drachenhammer","draco-marteau","드래곤해머","龍錘"
"693","ぶんまわす","brutal-swing","wirbler","centrifugifle","세차게휘두르기","狂舞揮打"
"694","オーロラベール","aurora-veil","auroraschleier","voile-aurore","오로라베일","極光幕"
"704","トラップシェル","shell-trap","panzerfalle","carapiège","트랩셸","陷阱甲殼"
"705","フルールカノン","fleur-cannon","kanonenbouquet","canon-floral","플뢰르캐논","花朵加農炮"
"706","サイコファング","psychic-fangs","psychobeißer","psycho-croc","사이코팽","精神之牙"
"707","じだんだ","stomping-tantrum","fruststampfer","trépignement","분함의발구르기","跺腳"
"708","シャドーボーン","shadow-bone","schattenknochen","os-ombre*","섀도본","暗影之骨"
"709","アクセルロック","accelerock","turbofelsen","vif-roc","액셀록","衝岩"
"710","アクアブレイク","liquidation","aquadurchstoß","aqua-brèche","아쿠아브레이크","水流裂破"
"711","プリズムレーザー","prismatic-laser","prisma-laser","laser-prisme","프리즘레이저","稜鏡鐳射"
"712","シャドースチール","spectral-thief","diebesschatten","clepto-mânes","섀도스틸","暗影偷盜"
"713","メテオドライブ","sunsteel-strike","stahlgestirn","choc-météore","메테오드라이브","流星閃衝"
"714","シャドーレイ","moongeist-beam","schattenstrahl","rayon-spectral","섀도레이","暗影之光"
"715","なみだめ","tearful-look","tränendrüse","larme-à-l'œil","눈물그렁그렁","淚眼汪汪"
"716","びりびりちくちく","zing-zap","elektropikser","électrikipik","찌리리따끔따끔","麻麻刺刺"
"717","しぜんのいかり","nature's-madness","naturzorn","ire-de-la-nature","자연의분노","自然之怒"
"718","マルチアタック","multi-attack","multi-angriff","coup-varia-type","멀티어택","多屬性攻擊"
"720","ビックリヘッド","mind-blown","knallkopf","caboche-kaboum","깜짝헤드","驚爆大頭"
"721","プラズマフィスト","plasma-fists","plasmafäuste","plasma-punch","플라스마피스트","等離子閃電拳"
"722","フォトンゲイザー","photon-geyser","photonen-geysir","photo-geyser","포톤가이저","光子噴湧"
"729","ばちばちアクセル","zippy-zap","britzelturbo","pika-sprint","파찌파찌액셀","電電加速"
"730","ざぶざぶサーフ","splishy-splash","plätschersurfer","pika-splash","참방참방서핑","滔滔衝浪"
"731","ふわふわフォール","floaty-fall","schwebesturz","pika-piqué","둥실둥실폴","飄飄墜落"
"732","ピカピカサンダー","pika-papow","pika-flash","pika-fracas","피카피카썬더","閃閃雷光"
"733","いきいきバブル","bouncy-bubble","blubbsauger","évo-thalasso","생생버블","活活氣泡"
"734","びりびりエレキ","buzzy-buzz","knisterladung","évo-dynamo","찌릿찌릿일렉","麻麻電擊"
"735","めらめらバーン","sizzly-slide","flackerbrand","évo-flambo","이글이글번","熊熊火爆"
"736","どばどばオーラ","glitzy-glow","pulsieraura","évo-psycho","콸콸오라","嘩嘩氣場"
"737","わるわるゾーン","baddy-bad","quälzone","évo-ténébro","아그아그존","壞壞領域"
